Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Marked as,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Gene ID,# Razor Peptides,"Abundances (Normalized): F1: Sample, Flg22","Abundances (Normalized): F2: Sample, Flg22","Abundances (Normalized): F3: Sample, Flg22","Abundances (Normalized): F4: Sample, Flg22","Abundances (Normalized): F5: Sample, Mock","Abundances (Normalized): F6: Sample, Mock","Abundances (Normalized): F7: Sample, Mock","Abundances (Normalized): F8: Sample, Mock",Ratio log2(flg22/Mock),T-Test,,,,,,
High,IsMasterProtein,P41127,Large ribosomal subunit protein eL13z OS=Arabidopsis thaliana OX=3702 GN=RPL13B PE=1 SV=1,0,Athaliana,21.272,30,5,9,3,206,23.8,11.02,18.08,5,ath:AT3G49010; P41127; Q42280; Q8LFC4,2,10737163.57,231546.1828,,,,,478618.5503,,3.518373707,#DIV/0!,,,,,,
High,IsMasterProtein,Q9SI17,Peroxidase 14 OS=Arabidopsis thaliana OX=3702 GN=PER14 PE=3 SV=1,0,Athaliana,37.587,26,6,30,1,337,37.2,6.76,55.7,6,ath:AT2G18140; Q9SI17,0,1869275.802,,1497722.813,2223831.437,,,,1095366.875,0.766685833,#DIV/0!,,,,,,
High,IsMasterProtein,Q8GYD1,Protein disulfide-isomerase 5-1 OS=Arabidopsis thaliana OX=3702 GN=PDIL5-1 PE=2 SV=1,0.001,Athaliana,3.923,7,1,1,1,146,16.6,5.05,2.29,1,ath:AT1G07960; Q8GYD1; Q96313; Q9LN11,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,O04202,Eukaryotic translation initiation factor 3 subunit F OS=Arabidopsis thaliana OX=3702 GN=TIF3F1 PE=1 SV=1,0.001,Athaliana,4.116,6,1,1,1,293,31.8,5.14,2.52,1,ath:AT2G39990; O04202; Q8W4H4,0,1014203.415,,,,373690.1091,,,,1.440432753,#DIV/0!,,,,,,
High,IsMasterProtein,O22842,Endochitinase At2g43610 OS=Arabidopsis thaliana OX=3702 GN=At2g43610 PE=1 SV=1,0,Athaliana,122.312,20,6,552,1,281,30,9.39,1394.87,6,ath:AT2G43610; O22842,0,,381676.0681,569955.6197,553261.8189,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9FGU1,Trafficking protein particle complex subunit OS=Arabidopsis thaliana OX=3702 GN=TRAPPC5 PE=1 SV=1,0.009,Athaliana,2.746,7,1,1,1,195,21.9,7.97,0,1,ath:AT5G58030; Q9FGU1,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9XI98,Ras-related protein RABG3e OS=Arabidopsis thaliana OX=3702 GN=RABG3E PE=2 SV=1,0,Athaliana,28.383,35,7,24,1,206,23,5.07,29.37,7,ath:AT1G49300; Q9XI98,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9SF21,Protein RISC-INTERACTING CLEARING 3'-5' EXORIBONUCLEASE 1 OS=Arabidopsis thaliana OX=3702 GN=RICE1 PE=1 SV=1,0,Athaliana,16.076,23,4,9,4,200,22.9,5.44,16.93,4,A0A178VAY5; ath:AT3G11770; Q9SF21,0,,2116967.329,,,,1210139.402,1220306.274,,0.800778116,#DIV/0!,,,,,,
High,IsMasterProtein,Q8RWM9,Uncharacterized protein At5g38380 OS=Arabidopsis thaliana OX=3702 GN=MXI10.5 PE=1 SV=1,0,Athaliana,5.284,7,1,1,1,361,40,8.95,0,1,Q3E8L6; Q8RWM9,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9FEC1,"Light-harvesting complex-like protein OHP2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=OHP2 PE=1 SV=1",0,Athaliana,6.764,13,1,2,1,172,18.7,9.35,3.18,1,ath:AT1G34000; Q8LG09; Q9FEC1,0,,,,,977501.1985,100641.9485,253878.682,753264.5625,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,F4HWS5,YTH domain-containing family protein OS=Arabidopsis thaliana OX=3702 GN=ECT7 PE=1 SV=1,0.002,Athaliana,3.478,3,2,3,2,639,70.8,6.96,1.69,2,ath:AT1G48110; F4HWS5,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,O81864,"Peptidyl-prolyl cis-trans isomerase FKBP17-1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FKBP17-1 PE=2 SV=1",0,Athaliana,12.061,13,2,4,2,229,24.7,9.25,8.25,2,ath:AT4G19830; O81864; Q8GY75,0,662812.0414,2632069.052,1324299.471,729301.6091,,2741699.568,,,-1.035940958,#DIV/0!,,,,,,
High,IsMasterProtein,P47924,"Bifunctional riboflavin biosynthesis protein RIBA 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RIBA1 PE=1 SV=2",0,Athaliana,11.023,7,3,4,2,543,59,5.87,2.29,3,ath:AT5G64300; P47924; Q9SBA8,0,,,,,,1642856.32,1132324.699,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9FF90,Large ribosomal subunit protein eL13x OS=Arabidopsis thaliana OX=3702 GN=RPL13D PE=1 SV=1,0,Athaliana,8.002,13,3,3,1,206,23.5,11,5.78,3,ath:AT5G23900; Q9FF90,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9M0I2,Expansin-B3 OS=Arabidopsis thaliana OX=3702 GN=EXPB3 PE=2 SV=2,0,Athaliana,7.138,6,1,1,1,264,28.4,8.73,2.56,1,ath:AT4G28250; Q9M0I2,0,547814.4943,,,,,,1515772.177,824610,-1.094984794,#DIV/0!,,,,,,
High,IsMasterProtein,Q8VXY4,TIP41-like protein OS=Arabidopsis thaliana OX=3702 GN=TIP41L PE=2 SV=1,0,Athaliana,4.197,4,1,1,1,290,33.1,5.59,2.02,1,ath:AT4G34270; Q8VXY4; Q9SYZ2; Q9XGU2,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,F4K4Y5,DEK domain-containing chromatin-associated protein 4 OS=Arabidopsis thaliana OX=3702 GN=DEK4 PE=1 SV=1,0,Athaliana,19.313,7,4,8,4,778,87.2,4.81,16.58,4,ath:AT5G55660; B9DFC8; F4K4Y5; Q9FM72,0,717868.0755,,,,1677020.763,105170.9317,824581.373,,-0.275511848,#DIV/0!,,,,,,
High,IsMasterProtein,O04090,"Ferredoxin-1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FD1 PE=1 SV=1",0.001,Athaliana,4.032,7,1,2,1,148,15.9,4.54,1.89,1,ath:AT1G10960; O04090; Q93Z60,0,,,,,413478.7804,8701063.871,394111.25,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q7G193,Indole-3-acetaldehyde oxidase OS=Arabidopsis thaliana OX=3702 GN=AAO1 PE=1 SV=2,0,Athaliana,10.484,3,4,6,4,1368,149.5,6.4,4.16,4,ath:AT5G20960; O49155; O64417; Q7G193,0,,1202771.708,678836.2889,825134.635,633513.198,,,,0.510148636,#DIV/0!,,,,,,
High,IsMasterProtein,A0A1P8AT27,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase OS=Arabidopsis thaliana OX=3702 GN=At1g72860 PE=4 SV=1,0,Athaliana,5.15,2,2,6,1,1306,148.7,6.61,8.24,2,A0A1P8AT27; ath:AT1G72860,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,A0A1P8AQ52,NAD(H) kinase 3 OS=Arabidopsis thaliana OX=3702 GN=NADK3 PE=1 SV=1,0.008,Athaliana,2.942,8,1,1,1,342,37.7,6.84,2.53,1,A0A1P8AQ52,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,F4JJL3,Endonuclease 5 OS=Arabidopsis thaliana OX=3702 GN=ENDO5 PE=1 SV=1,0,Athaliana,5.03,7,2,5,1,296,33.6,7.09,9.81,2,ath:AT4G21600; F4JJL3; O65425; Q8LA68,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q8L9R4,At5g27990 OS=Arabidopsis thaliana OX=3702 GN=At5g27990 PE=1 SV=1,0,Athaliana,6.286,11,2,2,2,184,20.4,4.3,2.13,2,ath:AT5G27990; Q8L9R4,0,,,,,289048.5997,226631.2388,355206.5628,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9LK99,Ras-related protein RABA1g OS=Arabidopsis thaliana OX=3702 GN=RABA1G PE=2 SV=1,0,Athaliana,12.265,21,4,11,1,217,24.3,5.9,12.16,4,ath:AT3G15060; Q9LK99,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,P57750,Phosphoacetylglucosamine mutase OS=Arabidopsis thaliana OX=3702 GN=DRT101 PE=1 SV=1,0,Athaliana,11.295,10,4,4,4,556,60.4,5.26,2.16,4,ath:AT5G18070; P57750; Q05211,0,,,,721197.9922,,852843.8979,,,-0.241886319,#DIV/0!,,,,,,
High,IsMasterProtein,Q9LS02,"Allene oxide cyclase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AOC2 PE=1 SV=1",0,Athaliana,20.378,22,5,14,1,253,27.6,7.43,18.05,5,ath:AT3G25770; Q9LS02,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9ASS2,Protein FREE1 OS=Arabidopsis thaliana OX=3702 GN=FREE1 PE=1 SV=1,0,Athaliana,8.6,4,3,7,3,601,65.4,6.79,4.43,3,ath:AT1G20110; Q940J6; Q9ASS2,0,,,531157.0485,,863161.5319,632981.2938,297597.1245,768687.125,-0.270300553,#DIV/0!,,,,,,
High,IsMasterProtein,A0A1P8AP59,Membrane fusion protein Use1 OS=Arabidopsis thaliana OX=3702 GN=At1g54110 PE=1 SV=1,0.003,Athaliana,3.217,4,1,1,1,244,28.1,8.22,1.9,1,A0A1P8AP59; ath:AT1G54110,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,F4IBH8,Zinc-binding dehydrogenase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g65560 PE=1 SV=1,0,Athaliana,10.815,13,3,9,2,350,38.6,5.8,5.27,3,F4IBH8,0,,,,,1713632.505,331863.6761,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9LFT6,Alpha-hydroxynitrile lyase OS=Arabidopsis thaliana OX=3702 GN=HNL PE=1 SV=1,0.009,Athaliana,2.732,4,1,3,1,258,29.2,6.07,3.84,1,ath:AT5G10300; Q93Z57; Q94AI5; Q9LFT6,0,,279097.2388,,,,422601.7176,,,-0.598530779,#DIV/0!,,,,,,
High,IsMasterProtein,Q9LJF3,Receptor-like protein kinase BRI1-like 3 OS=Arabidopsis thaliana OX=3702 GN=BRL3 PE=1 SV=1,0,Athaliana,15.961,5,5,8,5,1164,126.6,6.74,12.38,5,ath:AT3G13380; B9DHZ3; C0LGN0; Q9LJF3,0,,468571.2269,1649787.918,2644351.299,,,692792.4864,,1.196325151,#DIV/0!,,,,,,
High,IsMasterProtein,Q8L9M9,Putative RRM-containing protein OS=Arabidopsis thaliana OX=3702 GN=BPL4 PE=1 SV=1,0,Athaliana,4.439,5,1,1,1,267,29,9.29,0,1,ath:AT5G32450; Q8L9M9,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9SX52,Phytochrome-associated serine/threonine-protein phosphatase 1 OS=Arabidopsis thaliana OX=3702 GN=FYPP1 PE=1 SV=1,0,Athaliana,16.425,25,4,10,1,303,34.8,5.07,23.07,4,ath:AT1G50370; Q0WWV2; Q9SX52,0,,529591.2898,,,,1260941.398,1332746.211,1225143.625,-1.265217364,#DIV/0!,,,,,,
High,IsMasterProtein,F4JK17,Cofactor-independent phosphoglycerate mutase OS=Arabidopsis thaliana OX=3702 GN=At4g09520 PE=1 SV=1,0,Athaliana,14.087,8,3,4,3,492,53.1,5.57,7.84,3,ath:AT4G09520; F4JK17,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9FKG3,"ATP-dependent 6-phosphofructokinase 4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PFK4 PE=1 SV=1",0,Athaliana,14.421,9,4,11,2,530,58.4,8.24,16.05,4,ath:AT5G61580; Q2V2W5; Q9FKG3,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9M1C2,"10 kDa chaperonin 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CPN10-1 PE=2 SV=1",0,Athaliana,13.381,27,3,21,1,138,15.1,7.96,15.73,3,ath:AT3G60210; Q9M1C2,0,,324141.5648,,,1349428.554,807865.0357,2500395.321,,-2.259955849,#DIV/0!,,,,,,
High,IsMasterProtein,Q9SAJ6,"Glyceraldehyde-3-phosphate dehydrogenase GAPCP1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GAPCP1 PE=1 SV=1",0,Athaliana,16.24,5,3,16,1,422,44.8,8.63,26.33,3,ath:AT1G79530; Q9SAJ6,0,480142.717,360739.2431,311208.0985,329917.4301,,,1980821.622,,-2.41854623,#DIV/0!,,,,,,
High,IsMasterProtein,Q9LU46,DEAD-box ATP-dependent RNA helicase 35 OS=Arabidopsis thaliana OX=3702 GN=RH35 PE=2 SV=1,0.001,Athaliana,3.66,2,1,1,1,591,65.8,6.68,2.25,1,ath:AT5G51280; Q0WWH1; Q9LU46,0,,,,,,,171438.0108,373206.1563,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,O49603,Cell wall / vacuolar inhibitor of fructosidase 2 OS=Arabidopsis thaliana OX=3702 GN=C/VIF2 PE=1 SV=1,0.001,Athaliana,3.927,9,2,2,2,180,19.6,8.54,3.93,2,ath:AT5G64620; O49603,0,87735.01883,,,,,2523236.848,,,-4.845979024,#DIV/0!,,,,,,
High,IsMasterProtein,F4HUX0,Regulator of Vps4 activity in the MVB pathway protein OS=Arabidopsis thaliana OX=3702 GN=ISTL1 PE=1 SV=1,0,Athaliana,25.081,9,4,10,4,649,72.5,5.26,16.76,4,ath:AT1G34220; F4HUX0,0,,1607133.213,,,1706811.794,2101705.86,1871783.336,3496869.75,-0.513559932,#DIV/0!,,,,,,
High,IsMasterProtein,Q9SQG2,Apyrase 1 OS=Arabidopsis thaliana OX=3702 GN=APY1 PE=1 SV=1,0.002,Athaliana,3.584,5,1,1,1,471,51.2,8.27,2.27,1,ath:AT3G04080; Q9SQG2,0,,331795.9383,747899.4763,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q8VYG0,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.3 OS=Arabidopsis thaliana OX=3702 GN=LRK10L-1.3 PE=2 SV=1,0,Athaliana,8.606,2,1,2,1,686,75.2,7.24,4.47,1,ath:AT5G38210; Q8VYG0; Q9FF35,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9SIH0,Small ribosomal subunit protein uS11z OS=Arabidopsis thaliana OX=3702 GN=RPS14A PE=1 SV=1,0,Athaliana,10.593,23,3,7,1,150,16.2,10.59,15.86,3,ath:AT2G36160; Q9SIH0,0,2097408.745,,,,,,,2040421.25,0.039741012,#DIV/0!,,,,,,
High,IsMasterProtein,Q6NQD2,At5g12240 OS=Arabidopsis thaliana OX=3702 GN=MXC9.20 PE=1 SV=1,0,Athaliana,5.691,13,1,1,1,114,13.2,5.39,2.47,1,ath:AT5G12240; Q6NQD2,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q0WLB5,Clathrin heavy chain 2 OS=Arabidopsis thaliana OX=3702 GN=CHC2 PE=1 SV=1,0,Athaliana,150.893,26,33,76,1,1703,193.1,5.38,136.44,33,ath:AT3G08530; Q0WLB5; Q8L3R8; Q9C6U0; Q9CA00,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,A0A1P8B209,Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At2g22795 PE=1 SV=1,0,Athaliana,4.807,3,1,2,1,712,79.5,4.34,4.49,1,A0A1P8B209; ath:AT2G22795,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q8RXH9,AT5G58005 protein OS=Arabidopsis thaliana OX=3702 GN=At5g58005 PE=1 SV=1,0,Athaliana,6.605,20,2,5,2,116,13.3,8.32,2.32,2,ath:AT5G58005; Q8RXH9,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9STN3,Putative transcription elongation factor SPT5 homolog 1 OS=Arabidopsis thaliana OX=3702 GN=At4g08350 PE=1 SV=2,0.003,Athaliana,3.392,1,1,1,1,1041,115.3,5.44,2.19,1,ath:AT4G08350; F4JFX7; Q9STN3,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,A2RVJ8,Protein HEAT INTOLERANT 4 OS=Arabidopsis thaliana OX=3702 GN=HIT4 PE=1 SV=1,0,Athaliana,11.297,8,2,5,2,434,50.5,4.97,9.7,2,A2RVJ8; ath:AT5G10010; Q9FIA6,0,498810.4722,,,,1256481.336,770906.7029,2077532.314,,-1.45582807,#DIV/0!,,,,,,
High,IsMasterProtein,Q9S9W2,Short-chain dehydrogenase/reductase SDRA OS=Arabidopsis thaliana OX=3702 GN=SDRA PE=1 SV=1,0,Athaliana,27.598,31,6,12,6,254,26.7,8.38,20.51,6,ath:AT4G05530; Q9S9W2,0,4232092.297,11396580.28,4785314.356,2446057.853,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9ZVR7,Phytosulfokine receptor 1 OS=Arabidopsis thaliana OX=3702 GN=PSKR1 PE=1 SV=4,0,Athaliana,5.523,2,2,5,1,1008,112.3,7.02,7.9,2,ath:AT2G02220; Q0WNS6; Q8S8L2; Q9ZVR7,0,866597.0641,659040.89,451265.4937,968235.8865,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9M9Q9,Peroxidase 5 OS=Arabidopsis thaliana OX=3702 GN=PER5 PE=3 SV=2,0,Athaliana,8.135,5,3,13,1,321,35,8.63,4.91,3,ath:AT1G14550; Q9M9Q9; Q9MA28,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,F4K425,Choline transporter-like protein OS=Arabidopsis thaliana OX=3702 GN=MXE10.1 PE=1 SV=1,0,Athaliana,4.548,2,1,1,1,569,63.8,8.97,1.7,1,ath:AT5G13760; F4K425,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9SJI9,Plant cysteine oxidase 4 OS=Arabidopsis thaliana OX=3702 GN=PCO4 PE=1 SV=2,0,Athaliana,5.32,7,1,2,1,241,27.2,6.28,0,1,ath:AT2G42670; Q0WUD4; Q9SJI9,0,,,476978.6257,,365193.7233,,714211.7158,718514.9375,-0.329370107,#DIV/0!,,,,,,
High,IsMasterProtein,O22256,Probable pectinesterase/pectinesterase inhibitor 20 OS=Arabidopsis thaliana OX=3702 GN=PME20 PE=2 SV=2,0,Athaliana,6.771,3,2,4,1,560,61.5,8.84,5.34,2,ath:AT2G47550; O22256; Q8GUF8; Q93Z62,0,,,,,,562406.5541,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,O49627,Iron-sulfur cluster assembly protein 1 OS=Arabidopsis thaliana OX=3702 GN=ISU1 PE=1 SV=1,0.002,Athaliana,3.579,5,1,1,1,167,17.9,8.98,2.08,1,ath:AT4G22220; O49627; Q8L984,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9C6B9,Phosphoethanolamine N-methyltransferase 3 OS=Arabidopsis thaliana OX=3702 GN=NMT3 PE=1 SV=2,0,Athaliana,35.765,20,8,20,4,490,56.3,5.5,31.15,8,ath:AT1G73600; Q0WUL3; Q9C6B9; Q9C9V1,0,,,,,4155554.146,1357246.884,2419860.23,2244535.25,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,O80990,Protein CIA1 OS=Arabidopsis thaliana OX=3702 GN=CIA1 PE=1 SV=2,0.001,Athaliana,3.626,5,1,1,1,352,39.1,4.97,1.76,1,ath:AT2G26060; F4ITL5; O80990,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9C6Z2,Nudix hydrolase 25 OS=Arabidopsis thaliana OX=3702 GN=NUDT25 PE=1 SV=1,0,Athaliana,16.272,34,4,8,4,175,19.8,4.82,15.37,4,ath:AT1G30110; Q0WMS9; Q9C6Z2,0,5585152.033,4861317.349,1940262.886,928852.9399,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,O82233,Eukaryotic translation initiation factor isoform 4G-2 OS=Arabidopsis thaliana OX=3702 GN=EIF(ISO)4G2 PE=1 SV=1,0,Athaliana,10.445,5,4,4,3,747,82.8,7.66,3.6,4,ath:AT2G24050; O82233; Q8W4L4,0,,,,,1879905.111,725307.7837,659535.9562,593163.4375,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,P09468,"ATP synthase epsilon chain, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=atpE PE=1 SV=2",0,Athaliana,6.724,11,1,1,1,132,14.5,6.1,1.88,1,ath:ArthCp028; P09468,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q0WWQ1,Autophagy-related protein 3 OS=Arabidopsis thaliana OX=3702 GN=ATG3 PE=1 SV=2,0,Athaliana,4.41,6,1,2,1,313,35.3,4.79,2.2,1,ath:AT5G61500; Q0WWQ1; Q8L982; Q8S930; Q9FKG9,0,400219.6402,,,,694412.4231,,149214.9286,297383.6563,0.073513663,#DIV/0!,,,,,,
High,IsMasterProtein,Q9FLX7,"Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At5g52840 PE=1 SV=1",0,Athaliana,5.976,9,2,4,2,169,19.2,4.77,3.9,2,ath:AT5G52840; Q9FLX7,0,,,,1035093.641,,,1561611.854,,-0.59327462,#DIV/0!,,,,,,
High,IsMasterProtein,A0A1P8B6K1,Modifier of snc1 OS=Arabidopsis thaliana OX=3702 GN=MOS1 PE=1 SV=1,0,Athaliana,8.822,2,2,2,2,1413,153.7,9.38,4.16,2,A0A1P8B6K1,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q6DST9,"Beta-1,3 glucanase OS=Arabidopsis thaliana OX=3702 GN=At1g29380 PE=1 SV=1",0.001,Athaliana,3.604,4,1,1,1,315,30.7,4.98,2.01,1,Q6DST9,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q8GX17,Ankyrin repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At4g19150 PE=1 SV=1,0,Athaliana,5.338,8,1,1,1,243,25.5,6.62,2.54,1,Q8GX17,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,P55231,"Glucose-1-phosphate adenylyltransferase large subunit 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=APL3 PE=2 SV=2",0,Athaliana,15.94,13,5,11,4,521,58,8.41,16.96,5,ath:AT4G39210; P55231; Q9ZR38,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9FML3,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MDC12.6 PE=1 SV=1,0.001,Athaliana,3.859,4,1,1,1,329,37,8.35,2.44,1,ath:AT5G63100; Q9FML3,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,A0A1P8B8J7,Thylakoid rhodanese-like protein OS=Arabidopsis thaliana OX=3702 GN=TROL PE=1 SV=1,0.008,Athaliana,2.91,2,1,1,1,507,54.4,5.16,1.66,1,A0A1P8B8J7,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,F4ICX0,Coatomer subunit beta' OS=Arabidopsis thaliana OX=3702 GN=At1g52360 PE=1 SV=1,0,Athaliana,4.762,2,1,2,1,970,109.7,4.96,2.51,1,F4ICX0,0,,,,,,,664188.9749,550888.875,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,P56765,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=accD PE=1 SV=2",0.004,Athaliana,2.984,2,1,2,1,488,55.6,6.24,0,1,ath:ArthCp031; P56765,0,,,,,,,759534.3436,789916.1875,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q8VY92,Transmembrane emp24 domain-containing protein p24delta10 OS=Arabidopsis thaliana OX=3702 GN=At1g69460 PE=1 SV=1,0.004,Athaliana,3.045,8,1,2,1,214,24.4,6.68,2.62,1,ath:AT1G69460; Q8VY92; Q9C791,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q9M338,Aldo-keto reductase family 4 member C11 OS=Arabidopsis thaliana OX=3702 GN=AKR4C11 PE=1 SV=1,0,Athaliana,5.462,8,1,3,1,315,35,6.95,2.82,1,ath:AT3G53880; Q9M338,0,528466.9727,415232.6763,559884.7437,,,362764.2205,,,0.46633927,#DIV/0!,,,,,,
High,IsMasterProtein,A0A1P8AWU9,High chlorophyll fluorescence phenotype 173 OS=Arabidopsis thaliana OX=3702 GN=HCF173 PE=1 SV=1,0.002,Athaliana,3.561,3,1,3,1,631,69.4,9.14,7.97,1,A0A1P8AWU9,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,K1H2_HUMAN,Keratin OS=Homo sapiens,0,Contaminant,20.121,12,5,14,2,448,50.3,4.87,14.02,5,,0,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,High,n/a
High,IsMasterProtein,Q9SV55,AFP homolog 2 OS=Arabidopsis thaliana OX=3702 GN=AFPH2 PE=1 SV=1,0,Athaliana,10.174,8,2,2,2,425,44.9,5.78,3.67,2,ath:AT4G28910; Q940F7; Q9SV55,0,,1359837.581,,,,,,1792158.5,-0.39826389,#DIV/0!,,,,,,
High,IsMasterProtein,Q9SU33,pEARLI1-like lipid transfer protein 3 OS=Arabidopsis thaliana OX=3702 GN=At4g12500 PE=2 SV=1,0,Athaliana,12.555,26,3,13,1,177,18.3,8.51,21.98,3,ath:AT4G12500; Q9SU33,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,P54904,Pyrroline-5-carboxylate reductase OS=Arabidopsis thaliana OX=3702 GN=PROC1 PE=2 SV=1,0,Athaliana,8.453,8,2,2,2,276,28.6,8.09,3.97,2,ath:AT5G14800; P54904,0,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
High,IsMasterProtein,Q8VYZ3,Probable pectinesterase 53 OS=Arabidopsis thaliana OX=3702 GN=PME53 PE=2 SV=1,0,Athaliana,4.907,3,1,2,1,383,42.5,9.09,1.66,1,ath:AT5G19730; Q8VYZ3,0,,,,,,,879184.7959,590503,#DIV/0!,#DIV/0!,,,,,,
